,title,userscore,release
311,Gomorrah (2016): Season 1,8.2,"August 24, 2016"
312,House of Cards (2013): Season 1,8.9,"February 1, 2013"
313,Doctor Who: Season 5,8.4,"April 3, 2010"
314,The Tenth Inning: Season 1,7.2,"September 28, 2010"
315,Last Week Tonight with John Oliver: Season 1,8.3,"April 27, 2014"
316,Blindspotting: Season 1,5.6,"June 13, 2021"
317,The Terror: Season 1,7.8,"March 26, 2018"
318,Luther: Season 3,5.6,"July 2, 2013"
319,The Defiant Ones (2017),7.8,"July 9, 2017"
320,Manhunt (2013),8.2,"May 1, 2013"
321,Loudermilk: Season 1,6.3,"October 17, 2017"
322,Preacher: Season 2,7.5,"June 25, 2017"
323,Benjamin Franklin: Season 1,tbd,"April 4, 2022"
324,Whitechapel: Season 1,7.6,"February 2, 2009"
325,Counterpart: Season 1,7.4,"December 10, 2017"
326,Servant: Season 2,6.8,"January 15, 2021"
327,Pose: Season 3,6.5,"May 2, 2021"
328,Challenger: The Final Flight,tbd,"September 16, 2020"
329,American Vandal: Season 2,7.9,"September 14, 2018"
330,The Girl From Plainville: Season 1,tbd,"March 29, 2022"
331,The Lady and the Dale: Season 1,5.2,"January 31, 2021"
332,The Vow (2020),5.9,"August 23, 2020"
333,Star Trek: Picard: Season 1,5.9,"January 23, 2020"
334,Evil: Season 1,7.2,"September 26, 2019"
335,Boardwalk Empire: Season 3,8.6,"September 16, 2012"
336,Glee: Season 2,7.5,"September 21, 2010"
337,Westworld: Season 2,7.1,"April 22, 2018"
338,Sherman's Showcase: Season 1,tbd,"July 31, 2019"
339,Rescue Me: Season 7,7.6,"July 13, 2011"
340,LuLaRich: Season 1,tbd,"September 10, 2021"
341,The A Word: Season 1,7.6,"March 22, 2016"
342,Episodes (US): Season 2,8.3,"May 11, 2012"
343,Downton Abbey: Season 6,7.9,"January 3, 2016"
344,Bloodlands: Season 1,tbd,"March 15, 2021"
345,Difficult People: Season 1,6.1,"August 5, 2015"
346,The Birthday Boys: Season 1,5.9,"October 18, 2013"
347,The Jinx: The Life and Deaths of Robert Durst: Season 1,8.2,"February 8, 2015"
348,Girls: Season 3,6.3,"January 12, 2014"
349,The New Edition Story: Season 1,6.5,"January 24, 2017"
350,Murder on Middle Beach,5.8,"November 15, 2020"
351,Single Drunk Female: Season 1,7.6,"January 20, 2022"
352,Annie Live!,1.7,"December 2, 2021"
353,Us: Season 1,tbd,"September 20, 2020"
354,Naomi Osaka: Season 1,2.2,"July 16, 2021"
355,The Wilds: Season 1,7.0,"December 11, 2020"
356,folklore: the long pond studio sessions,8.6,"November 25, 2020"
357,Nurse Jackie: Season 1,7.5,"June 8, 2009"
358,The Missing: Season 2,7.7,"February 12, 2017"
359,The Mandalorian: Season 2,8.0,"October 30, 2020"
360,Nixon by Nixon: In His Own Words,tbd,"August 4, 2014"
361,In The Flesh: Season 1,8.1,"March 17, 2013"
362,Alias: Season 1,8.1,"September 30, 2001"
363,House of Cards (2013): Season 4,8.4,"March 4, 2016"
364,Awkward: Season 2,7.3,"June 28, 2012"
365,The Adam Carolla Project: Season 5,7.2,"September 26, 2010"
366,Saving Grace: Season 2,5.4,"July 14, 2008"
367,Only Murders in the Building: Season 1,8.8,"August 31, 2021"
368,The Pursuit of Love: Season 1,tbd,"July 30, 2021"
369,Trial & Error: Season 2,7.0,"July 19, 2018"
370,Indian Summers: Season 1,5.6,"February 15, 2015"
371,Narcos: Season 2,8.5,"September 2, 2016"
372,Sasquatch: Season 1,6.5,"April 20, 2021"
373,Steel Magnolias,7.1,"October 7, 2012"
374,Stranger Things: Season 1,8.9,"July 15, 2016"
375,Patton Oswalt: I Love Everything,5.8,"May 19, 2020"
376,Law & Order: Season 19,8.5,"November 5, 2008"
377,Maniac (2018): Season 1,7.3,"September 21, 2018"
378,Futurama: Season 10,8.4,"June 19, 2013"
379,House of Cards (2013): Season 3,7.3,"February 27, 2015"
380,Preacher: Season 1,7.8,"May 22, 2016"
381,Huff: Season 1,tbd,"November 7, 2004"
382,Master of None: Season 3,5.4,"May 23, 2021"
383,Queens: Season 1,1.8,"October 19, 2021"
384,Richard Pryor: Omit the Logic,tbd,"May 31, 2013"
385,Fortitude: Season 1,7.2,"January 29, 2015"
386,Guerrilla: Season 1,6.6,"April 16, 2017"
387,Mr Inbetween: Season 1,7.8,"September 25, 2018"
388,Counterpart: Season 2,7.5,"December 9, 2018"
389,For All Mankind: Season 2,6.6,"February 19, 2021"
390,Midnight Mass,8.1,"September 24, 2021"
391,F is for Family: Season 1,7.9,"December 18, 2015"
392,Prey (2016): Season 1,5.4,"February 25, 2016"
393,Girls: Season 4,6.1,"January 11, 2015"
394,Smallville: Season 1,8.1,"October 16, 2001"
395,The Dropout: Season 1,8.3,"March 3, 2022"
396,Hillary: Season 1,1.8,"March 6, 2020"
397,The Chicago Code: Season 1,7.1,"February 7, 2011"
398,Ugly Betty: Season 1,8.3,"September 28, 2006"
399,Raising Hope: Season 1,8.1,"September 21, 2010"
400,Boss: Season 2,8.3,"August 17, 2012"
401,Angel: Season 1,8.5,"October 5, 1999"
402,Damages: Season 1,8.6,"July 24, 2007"
403,Dr. Death: Season 1,6.3,"July 15, 2021"
404,Bill Cosby: Far From Finished,6.4,"November 23, 2013"
