title,release,metascore,userscore
1,Twenties: Season 1,"March 4, 2020",72,Twenties: Season 1
2,Masters of the Universe: Revelation: Season 1,"July 23, 2021",72,Masters of the Universe: Revelation: Season 1
3,Confirmation,"April 16, 2016",72,Confirmation
4,Invasion: Season 1,"September 21, 2005",72,Invasion: Season 1
5,War & Peace,"January 18, 2016",72,War & Peace
6,People of Earth: Season 1,"October 31, 2016",72,People of Earth: Season 1
7,The Tick (2017): Season 1,"August 25, 2017",72,The Tick (2017): Season 1
8,Halt and Catch Fire: Season 2,"May 31, 2015",73,Halt and Catch Fire: Season 2
9,In Treatment: Season 4,"May 23, 2021",72,In Treatment: Season 4
10,Quarry: Season 1,"September 9, 2016",72,Quarry: Season 1
11,Ray Donovan: Season 2,"July 13, 2014",73,Ray Donovan: Season 2
12,Hit and Miss: Season 1,"May 22, 2012",72,Hit and Miss: Season 1
13,Demi Lovato: Dancing with the Devil: Season 1,"March 23, 2021",73,Demi Lovato: Dancing with the Devil: Season 1
14,Ally McBeal: Season 1,"September 8, 1997",73,Ally McBeal: Season 1
15,Masters of Sex: Season 3,"July 12, 2015",72,Masters of Sex: Season 3
16,Shrek The Halls,"November 28, 2007",73,Shrek The Halls
17,Wellington Paranormal: Season 1,"July 11, 2021",72,Wellington Paranormal: Season 1
18,The Boondocks: Season 1,"November 6, 2005",72,The Boondocks: Season 1
19,Big Love: Season 1,"March 12, 2006",72,Big Love: Season 1
20,Love (2016): Season 1,"February 19, 2016",72,Love (2016): Season 1
21,Dead to Me: Season 2,"May 8, 2020",72,Dead to Me: Season 2
22,Eli Stone: Season 2,"October 14, 2008",72,Eli Stone: Season 2
23,Welcome to Sweden: Season 1,"July 10, 2014",72,Welcome to Sweden: Season 1
24,Veep: Season 1,"April 22, 2013",72,Veep: Season 1
25,The Amazing Race: Season 1,"September 5, 2001",72,The Amazing Race: Season 1
26,Arrested Development: Season 4,"May 26, 2013",72,Arrested Development: Season 4
27,I'll Fly Away: Season 1,"October 7, 1991",72,I'll Fly Away: Season 1
28,Cobra Kai: Season 3,"January 1, 2021",72,Cobra Kai: Season 3
29,Oliver Twist : Season 1,"December 18, 2007",72,Oliver Twist : Season 1
30,High School Musical 2,"August 17, 2007",72,High School Musical 2
31,Aziz Ansari: Right Now,"July 9, 2019",72,Aziz Ansari: Right Now
